stop_date,stop_time,driver_gender,driver_age,driver_race,violation,search_conducted,stop_outcome,is_arrested,stop_duration,drugs_related_stop
1032005,0.295138889,1,17,5,6,0,3,0,15,0
1032005,0.359027778,1,40,5,1,0,6,0,15,0
1032005,0.414583333,0,23,5,6,0,3,0,15,0
1032005,0.5125,0,24,5,6,0,3,0,15,0
1032005,0.517361111,1,28,5,6,0,3,0,15,0
1032005,0.559722222,1,30,2,6,0,1,1,45,0
1032005,0.559722222,1,30,2,6,0,1,1,45,0
1032005,0.565972222,1,29,5,6,0,3,0,15,0
1032005,0.583333333,1,27,2,1,1,3,0,30,0
1032005,0.6875,1,34,2,6,0,3,0,15,0
1032005,0.708333333,1,44,5,1,0,6,0,45,0
1032005,0.8125,1,25,5,6,0,3,0,15,0
1032005,0.826388889,0,0,0,0,0,0,0,0,0
1032005,0.842361111,0,44,5,6,0,3,0,15,0
1032005,0.84375,1,45,5,6,0,3,0,15,0
1032005,0.972222222,1,51,5,4,0,3,0,15,0
1032005,0.979166667,1,30,5,6,0,3,0,15,0
1042005,0,1,40,5,6,0,3,0,15,0
1042005,0.025,1,44,5,3,0,1,1,45,0
1042005,0.025,1,44,5,3,0,1,1,45,0
1042005,0.055555556,1,49,5,2,1,1,1,45,1
1042005,0.065972222,1,23,5,6,0,3,0,15,0
1042005,0.142361111,1,41,5,6,0,3,0,15,0
1042005,0.40625,0,18,5,6,0,3,0,15,0
1042005,0.407638889,1,41,5,6,0,3,0,15,0
1042005,0.465277778,1,22,5,6,0,3,0,15,0
1042005,0.488194444,0,0,0,0,0,0,0,0,0
1042005,0.493055556,1,20,5,6,0,3,0,15,0
1042005,0.517361111,1,41,5,6,0,3,0,15,0
1042005,0.520833333,1,32,5,6,0,3,0,15,0
1042005,0.591666667,1,29,4,6,0,3,0,15,0
1042005,0.604166667,1,28,5,4,0,3,0,30,0
1042005,0.625,1,24,2,6,0,3,0,45,0
1042005,0.625,1,24,2,6,0,1,1,45,0
1042005,0.627083333,0,21,5,6,0,3,0,15,0
1042005,0.642361111,1,37,5,6,0,3,0,15,0
1042005,0.701388889,0,61,5,6,0,3,0,15,0
1042005,0.836805556,1,70,5,6,0,3,0,15,0
1042005,0.847222222,1,38,5,6,0,3,0,15,0
1042005,0.965277778,1,20,5,6,0,2,1,30,0
1042005,0.979166667,1,22,2,2,0,1,1,30,0
1052005,0.013888889,1,25,2,1,1,1,1,30,1
1052005,0.052083333,1,21,5,6,0,3,0,15,0
1052005,0.079861111,1,47,1,6,0,3,0,15,0
1052005,0.145833333,1,36,2,2,0,1,1,30,0
1052005,0.145833333,1,25,2,1,0,1,1,30,0
1052005,0.284722222,0,20,5,6,0,3,0,30,0
1052005,0.347222222,1,29,5,2,0,3,0,15,0
1052005,0.368055556,1,0,5,2,0,3,0,15,0
1052005,0.409722222,1,42,5,6,0,3,0,30,0
1052005,0.416666667,1,24,5,6,0,3,0,15,0
1052005,0.416666667,1,24,5,6,0,3,0,15,0
1052005,0.422222222,0,0,0,0,0,0,0,0,0
1052005,0.427083333,1,26,5,6,0,3,0,15,0
1052005,0.529861111,0,21,5,6,0,3,0,15,0
1052005,0.590277778,1,34,5,3,0,3,0,45,0
1052005,0.673611111,1,26,5,3,0,3,0,15,0
1052005,0.694444444,1,42,5,6,0,3,0,15,0
1052005,0.708333333,1,20,5,3,0,3,0,15,0
1052005,0.722222222,0,53,5,6,0,3,0,15,0
1052005,0.75,0,24,1,6,0,3,0,15,0
1052005,0.75,1,24,5,2,0,3,0,30,0
1052005,0.802083333,1,40,5,2,0,3,0,30,0
1052005,0.933333333,1,57,5,6,0,3,0,15,0
1052005,0.940972222,1,45,5,6,0,3,0,15,0
1052005,0.951388889,1,25,2,1,1,4,0,45,0
1052005,0.96875,0,30,5,6,0,3,0,15,0
1052005,0.986111111,1,55,2,2,0,3,0,15,0
1062005,0.03125,1,48,2,6,0,3,0,15,0
1062005,0.090277778,1,27,2,6,0,3,0,30,0
1062005,0.270833333,1,35,5,6,0,6,0,15,0
1062005,0.272222222,1,47,5,2,0,3,0,30,0
1062005,0.291666667,1,60,5,6,0,3,0,15,0
1062005,0.3,0,40,5,6,0,3,0,15,0
1062005,0.350694444,1,43,2,2,0,3,0,15,0
1062005,0.357638889,1,21,5,2,0,3,0,15,0
1062005,0.361111111,1,27,5,1,0,4,0,15,0
1062005,0.364583333,1,38,5,6,0,3,0,15,0
1062005,0.375,1,35,5,6,0,3,0,15,0
1062005,0.378472222,1,59,5,2,0,3,0,15,0
1062005,0.444444444,1,27,5,6,0,3,0,15,0
1062005,0.453472222,0,36,1,6,0,3,0,15,0
1062005,0.467361111,1,23,5,6,0,3,0,15,0
1062005,0.479166667,1,64,5,6,0,3,0,15,0
1062005,0.495138889,1,25,4,2,0,3,0,15,0
1062005,0.5,1,44,2,6,0,3,0,30,0
1062005,0.545138889,1,20,5,6,0,3,0,30,0
1062005,0.565972222,1,40,5,1,0,3,0,30,0
1062005,0.576388889,1,50,5,4,0,3,0,30,0
1062005,0.660416667,1,25,5,6,0,3,0,15,0
1062005,0.663194444,1,35,1,2,0,3,0,15,0
1062005,0.688888889,0,25,5,6,0,3,0,15,0
1062005,0.7375,1,20,5,6,0,3,0,15,0
1062005,0.743055556,1,30,1,6,0,3,0,15,0
1062005,0.78125,1,40,5,2,0,3,0,15,0
1062005,0.9375,0,18,5,1,0,4,0,15,0
1062005,0.958333333,1,38,5,2,0,3,0,15,0
1062005,0.965277778,1,39,2,2,0,3,0,15,0
1062005,0.979166667,0,25,5,6,0,3,0,15,0
1072005,0.020833333,1,24,5,6,0,3,0,15,0
1072005,0.034722222,1,32,3,2,0,1,1,30,0
1072005,0.077777778,1,32,5,6,0,3,0,15,0
1072005,0.111111111,1,36,5,6,0,3,0,15,0
1072005,0.236805556,1,23,5,3,0,3,0,45,0
1072005,0.270833333,1,26,5,6,0,3,0,30,0
1072005,0.295138889,0,37,5,6,0,3,0,15,0
1072005,0.298611111,0,19,5,6,0,3,0,15,0
1072005,0.38125,0,0,0,0,0,0,0,0,0
1072005,0.397916667,1,61,5,6,0,3,0,30,0
1072005,0.399305556,1,22,2,6,0,3,0,15,0
1072005,0.5,1,58,2,2,1,1,1,30,0
1072005,0.53125,0,24,2,6,1,2,1,30,0
1072005,0.541666667,1,18,2,1,1,1,1,30,0
1072005,0.555555556,0,46,2,6,0,3,0,15,0
1072005,0.555555556,1,36,1,6,0,3,0,15,0
1072005,0.711805556,1,23,5,6,0,3,0,15,0
1072005,0.715277778,1,17,5,2,0,3,0,30,0
1072005,0.815972222,0,27,5,6,0,3,0,15,0
1072005,0.854166667,0,36,5,6,0,3,0,15,0
1072005,0.913194444,1,28,5,6,0,3,0,15,0
1072005,0.954861111,1,23,5,6,0,3,0,15,0
1072005,0.979166667,1,19,5,3,1,2,1,30,1
1082005,0,1,27,5,1,0,3,0,15,0
1082005,0.006944444,1,26,1,6,0,3,0,15,0
1082005,0.013888889,0,32,5,6,0,3,0,30,0
1082005,0.079861111,1,31,5,3,0,1,1,45,0
1082005,0.083333333,1,27,5,6,0,3,0,15,0
1082005,0.104166667,1,23,5,6,0,3,0,15,0
1082005,0.134027778,0,37,0,0,0,0,0,0,0
1082005,0.309027778,1,32,5,6,0,3,0,30,0
1082005,0.350694444,0,43,5,6,0,3,0,15,0
1082005,0.354166667,1,19,5,6,0,3,0,15,0
1082005,0.361111111,0,33,5,6,0,3,0,15,0
1082005,0.375,0,20,5,6,0,3,0,15,0
1082005,0.385416667,0,52,5,6,0,3,0,30,0
1082005,0.385416667,0,39,5,6,0,3,0,15,0
1082005,0.392361111,1,46,5,6,0,3,0,15,0
1082005,0.434027778,0,25,1,6,0,3,0,30,0
1082005,0.4375,0,41,5,2,0,3,0,15,0
1082005,0.513888889,0,22,5,1,0,3,0,15,0
1082005,0.520833333,1,27,5,1,0,3,0,15,0
1082005,0.520833333,1,27,5,1,0,3,0,15,0
1082005,0.59375,0,39,5,6,0,3,0,15,0
1082005,0.595833333,1,44,5,6,0,3,0,15,0
1082005,0.645833333,1,25,5,3,0,3,0,30,0
1082005,0.666666667,0,21,5,6,0,3,0,15,0
1082005,0.666666667,0,27,5,6,0,3,0,15,0
1082005,0.708333333,1,33,5,6,0,3,0,15,0
1082005,0.861111111,1,18,5,1,1,2,1,30,1
1082005,0.947916667,1,22,5,6,0,3,0,15,0
1082005,0.948611111,1,20,2,6,0,3,0,15,0
1092005,0.076388889,0,61,5,6,0,3,0,15,0
1092005,0.090277778,1,23,5,6,0,3,0,15,0
1092005,0.277777778,0,21,5,6,0,3,0,15,0
1092005,0.290277778,1,21,5,6,0,3,0,15,0
1092005,0.416666667,1,33,5,2,0,3,0,15,0
1092005,0.5,0,28,5,6,0,3,0,15,0
1092005,0.520833333,1,29,5,2,0,1,1,15,0
1092005,0.541666667,1,42,5,2,0,1,1,15,0
1092005,0.541666667,1,42,5,2,0,1,1,15,0
1092005,0.598611111,1,55,1,6,0,3,0,15,0
1092005,0.6125,1,42,5,6,0,3,0,15,0
1092005,0.666666667,0,27,2,4,0,6,0,15,0
1092005,0.750694444,1,63,5,2,0,3,0,15,0
1092005,0.772222222,1,28,5,6,0,3,0,15,0
1092005,0.777083333,1,30,5,6,0,3,0,15,0
1092005,0.847222222,1,25,5,1,0,3,0,15,0
1092005,0.861111111,0,22,5,2,0,3,0,15,0
1092005,0.875,0,18,5,6,0,3,0,15,0
1092005,0.881944444,0,19,5,1,0,4,0,15,0
1092005,0.979166667,1,23,2,6,0,3,0,15,0
1092005,0.996527778,1,20,5,6,0,3,0,15,0
10102005,0.034722222,1,22,1,6,0,3,0,15,0
10102005,0.059027778,1,21,5,6,0,1,1,15,0
10102005,0.083333333,1,22,2,6,0,3,0,15,0
10102005,0.274305556,1,30,5,6,0,3,0,15,0
10102005,0.291666667,1,35,2,6,0,3,0,15,0
10102005,0.309027778,1,54,5,1,0,3,0,30,0
10102005,0.381944444,0,17,5,2,0,3,0,15,0
10102005,0.438888889,1,54,5,6,0,3,0,15,0
10102005,0.46875,1,31,5,6,0,3,0,15,0
10102005,0.472222222,1,41,5,2,0,3,0,15,0
10102005,0.489583333,1,19,5,6,0,3,0,15,0
10102005,0.503472222,0,0,5,2,0,6,0,15,0
10102005,0.520833333,1,32,5,6,0,3,0,15,0
10102005,0.559027778,1,21,5,6,0,3,0,15,0
10102005,0.572916667,1,19,5,6,0,3,0,30,0
10102005,0.576388889,0,35,5,6,0,3,0,15,0
10102005,0.586111111,1,19,5,6,0,3,0,15,0
10102005,0.595138889,0,21,1,6,0,3,0,15,0
10102005,0.614583333,1,21,5,2,0,3,0,15,0
10102005,0.615972222,1,19,5,3,0,3,0,45,0
10102005,0.645833333,1,36,5,3,0,3,0,15,0
10102005,0.65625,1,19,5,6,0,3,0,30,0
10102005,0.659722222,1,27,5,6,0,3,0,30,0
10102005,0.666666667,1,50,5,3,1,1,1,30,0
10102005,0.684027778,0,21,5,6,0,3,0,30,0
10102005,0.743055556,1,51,5,2,0,3,0,15,0
10102005,0.756944444,1,27,5,2,0,3,0,15,0
10102005,0.84375,0,27,5,1,0,4,0,30,0
10102005,0.889583333,1,24,5,6,0,3,0,15,0
10102005,0.895833333,1,34,5,6,0,3,0,15,0
10102005,0.96875,1,29,5,6,0,3,0,15,0
10102005,0.979166667,1,51,5,6,0,3,0,15,0
10102005,0.986111111,1,34,5,6,0,3,0,15,0
10102005,0.989583333,1,27,5,6,0,3,0,30,0
10102005,0.989583333,0,31,5,6,0,3,0,15,0
10102005,0.993055556,1,32,2,6,0,3,0,15,0
10112005,0.027777778,0,22,2,2,0,3,0,15,0
10112005,0.03125,1,40,5,6,0,3,0,15,0
10112005,0.135416667,1,41,5,6,1,1,1,45,0
10112005,0.284722222,0,51,5,6,0,3,0,15,0
10112005,0.288194444,1,26,5,6,0,3,0,15,0
10112005,0.291666667,0,23,5,6,0,3,0,15,0
10112005,0.294444444,1,19,5,2,0,3,0,15,0
10112005,0.406944444,1,25,5,6,0,3,0,15,0
10112005,0.4375,0,0,0,0,0,0,0,0,0
10112005,0.569444444,1,42,5,2,1,3,0,15,1
10112005,0.590277778,1,20,5,1,0,3,0,15,0
10112005,0.600694444,1,54,5,4,0,3,0,15,0
10112005,0.638888889,0,0,0,0,0,0,0,0,0
10112005,0.704861111,1,22,5,1,0,3,0,15,0
10112005,0.913194444,1,28,3,6,0,3,0,15,0
10112005,0.920138889,1,29,5,6,0,3,0,15,0
10112005,0.927083333,0,21,5,6,0,3,0,15,0
10112005,0.992361111,1,52,2,1,1,1,1,30,0
10122005,0.010416667,1,45,5,6,0,3,0,15,0
10122005,0.013888889,1,24,5,6,0,3,0,15,0
10122005,0.09375,1,19,2,6,0,3,0,15,0
10122005,0.28125,1,35,5,6,0,3,0,15,0
10122005,0.288194444,1,27,5,6,0,3,0,15,0
10122005,0.3125,1,40,5,6,0,3,0,15,0
10122005,0.3125,1,40,5,6,0,3,0,15,0
10122005,0.326388889,1,0,5,3,0,5,0,15,0
10122005,0.354166667,0,33,5,6,0,3,0,15,0
10122005,0.375,0,51,5,6,0,3,0,15,0
10122005,0.378472222,1,54,5,6,0,3,0,15,0
10122005,0.395833333,1,35,5,6,0,3,0,15,0
10122005,0.833333333,1,21,5,6,0,3,0,15,0
10122005,0.847222222,1,28,5,2,1,1,1,45,1
10122005,0.847222222,0,19,5,6,0,3,0,15,0
10122005,0.854166667,1,18,3,2,1,1,1,15,0
10122005,0.854166667,1,18,3,2,1,1,1,15,0
10122005,0.927083333,1,37,5,6,0,3,0,15,0
10122005,0.970833333,1,56,5,6,0,3,0,15,0
10122005,0.995833333,1,32,2,2,0,3,0,15,0
10132005,0.016666667,1,45,5,6,0,3,0,15,0
10132005,0.020833333,1,28,1,1,0,3,0,15,0
10132005,0.055555556,1,21,5,6,0,3,0,15,0
10132005,0.395833333,1,43,5,6,0,3,0,15,0
10132005,0.474305556,1,50,2,1,0,3,0,15,0
10132005,0.489583333,1,25,5,6,0,3,0,15,0
10132005,0.5,1,31,2,6,0,3,0,15,0
10132005,0.9375,1,30,2,6,0,1,1,45,0
10132005,0.951388889,1,31,5,6,0,3,0,15,0
10132005,0.961805556,1,22,2,4,0,1,1,30,0
10142005,0.003472222,1,38,5,1,0,3,0,15,0
10142005,0.367361111,0,36,5,2,0,3,0,15,0
10142005,0.5625,1,44,5,6,0,3,0,15,0
10142005,0.600694444,1,31,5,6,0,3,0,15,0
10142005,0.611805556,0,28,5,6,0,3,0,15,0
10142005,0.625,1,42,5,6,0,3,0,15,0
10142005,0.647916667,1,57,5,6,0,3,0,15,0
10142005,0.652777778,1,43,5,1,0,3,0,15,0
10142005,0.690972222,1,28,5,6,0,3,0,15,0
10142005,0.708333333,1,32,5,3,0,3,0,15,0
10142005,0.708333333,1,29,5,6,0,6,0,45,0
10142005,0.729166667,1,45,5,6,0,3,0,15,0
10142005,0.847222222,1,64,2,6,0,3,0,15,0
10142005,0.875,1,27,5,6,0,3,0,45,0
10152005,0.284027778,1,24,5,6,0,3,0,15,0
10152005,0.385416667,1,47,5,6,0,3,0,15,0
10152005,0.454861111,1,24,5,6,0,3,0,15,0
10152005,0.732638889,1,22,5,6,0,3,0,15,0
10152005,0.8125,1,17,5,6,0,3,0,15,0
10152005,0.863888889,1,33,5,2,0,3,0,15,0
10152005,0.868055556,1,21,5,2,0,3,0,15,0
10152005,0.988194444,1,26,5,6,0,3,0,15,0
10152005,0.989583333,1,40,5,6,0,3,0,15,0
10162005,0,1,24,2,6,1,3,0,30,0
10162005,0.055555556,0,23,2,6,0,3,0,15,0
10162005,0.0875,1,56,5,2,0,3,0,15,0
10162005,0.111111111,1,31,5,6,0,3,0,15,0
10162005,0.118055556,1,29,5,6,1,1,1,45,0
10162005,0.184027778,0,33,1,6,0,3,0,15,0
10162005,0.277777778,1,36,5,6,0,3,0,15,0
10162005,0.354166667,1,29,5,6,0,3,0,15,0
10162005,0.430555556,1,29,2,6,0,3,0,30,0
10162005,0.4375,0,41,5,6,0,3,0,15,0
10162005,0.440972222,1,34,5,6,0,3,0,15,0
10162005,0.444444444,1,44,2,6,1,1,1,45,0
10162005,0.454861111,1,25,5,2,0,3,0,15,0
10162005,0.458333333,0,21,5,6,0,3,0,15,0
10162005,0.465277778,1,23,2,6,0,3,0,15,0
10162005,0.482638889,1,27,5,6,0,3,0,15,0
10162005,0.489583333,1,19,5,1,0,3,0,15,0
10162005,0.604166667,1,18,5,2,0,3,0,15,0
10162005,0.631944444,1,20,5,6,0,3,0,30,0
10162005,0.649305556,0,0,0,0,0,0,0,0,0
10162005,0.666666667,0,19,5,6,0,3,0,15,0
10162005,0.739583333,1,17,2,6,0,3,0,15,0
10162005,0.75,1,52,5,6,0,3,0,15,0
10162005,0.760416667,1,43,5,6,0,3,0,15,0
10162005,0.8125,1,28,5,1,1,1,1,45,0
10162005,0.857638889,1,49,5,6,0,3,0,15,0
10162005,0.861111111,1,42,5,6,0,3,0,15,0
10162005,0.875,1,39,5,6,0,3,0,15,0
10162005,0.892361111,1,48,5,6,0,3,0,15,0
10172005,0.003472222,1,24,5,6,0,3,0,15,0
10172005,0.010416667,1,26,5,6,0,3,0,15,0
10172005,0.017361111,1,23,5,1,0,3,0,15,0
10172005,0.027777778,1,25,5,6,0,3,0,15,0
10172005,0.0625,1,42,5,6,0,3,0,15,0
10172005,0.256944444,0,19,5,6,0,3,0,15,0
10172005,0.291666667,0,45,5,2,0,3,0,15,0
10172005,0.298611111,1,33,3,6,0,3,0,15,0
10172005,0.355555556,1,0,5,2,0,3,0,15,0
10172005,0.395833333,1,22,2,6,1,3,0,15,0
10172005,0.463888889,1,29,2,6,0,3,0,15,0
10172005,0.496527778,0,22,5,6,0,3,0,15,0
10172005,0.570833333,1,25,5,6,0,3,0,15,0
10172005,0.577083333,1,17,5,6,0,3,0,15,0
10172005,0.592361111,1,31,5,2,0,3,0,45,0
10172005,0.604166667,1,48,5,6,0,3,0,30,0
10172005,0.65625,0,64,5,6,0,3,0,30,0
10172005,0.760416667,1,55,5,6,0,3,0,15,0
10172005,0.809027778,0,27,2,6,0,3,0,30,0
10172005,0.84375,1,52,5,6,0,3,0,30,0
10172005,0.940972222,0,22,5,1,0,4,0,15,0
10172005,0.94375,1,32,5,6,0,3,0,15,0
10172005,0.944444444,1,22,5,2,0,6,0,15,0
10172005,0.958333333,0,26,5,1,0,6,0,15,0
10172005,0.958333333,0,18,2,6,0,3,0,15,0
10172005,0.979166667,0,22,5,6,0,3,0,15,0
10182005,0.020833333,1,58,5,6,0,3,0,15,0
10182005,0.055555556,1,23,5,6,0,3,0,15,0
10182005,0.069444444,1,20,5,4,0,1,1,30,0
10182005,0.114583333,1,38,5,2,1,1,1,30,0
10182005,0.319444444,0,25,2,2,0,3,0,15,0
10182005,0.378472222,0,25,5,6,0,3,0,15,0
10182005,0.392361111,1,44,5,6,0,3,0,15,0
10182005,0.430555556,1,35,5,6,0,3,0,15,0
10182005,0.458333333,1,25,5,2,0,6,0,15,0
10182005,0.463888889,1,49,5,2,0,3,0,30,0
10182005,0.465277778,1,53,5,2,0,3,0,15,0
10182005,0.475694444,0,18,5,6,0,3,0,15,0
10182005,0.5,1,31,5,6,0,1,1,30,0
10182005,0.529861111,1,18,5,6,0,3,0,15,0
10182005,0.531944444,1,47,5,6,0,3,0,15,0
10182005,0.534722222,0,22,1,6,0,3,0,15,0
10182005,0.541666667,1,22,5,6,0,3,0,15,0
10182005,0.59375,1,22,2,4,0,3,0,30,0
10182005,0.60625,1,36,5,2,0,3,0,15,0
10182005,0.629861111,0,45,5,2,0,3,0,15,0
10182005,0.684027778,1,22,5,6,0,3,0,15,0
10182005,0.729166667,0,18,5,6,0,3,0,30,0
10182005,0.743055556,1,32,5,6,0,3,0,15,0
10182005,0.770833333,0,0,5,6,0,6,0,15,0
